Picture Number:   67	 QP:   22  [ PSNR-Y: 44.22 dB,	PSNR-U: 51.52 dB,	PSNR-V: 51.98 dB,	MSE-Y: 2.46,	MSE-U: 0.46,	MSE-V: 0.41,	SSIM-Y: 0.98024,	SSIM-U: 0.99458,	SSIM-V: 0.99491 ]	   1666 bytes
Picture Number:   68	 QP:   19  [ PSNR-Y: 45.08 dB,	PSNR-U: 51.37 dB,	PSNR-V: 51.92 dB,	MSE-Y: 2.02,	MSE-U: 0.47,	MSE-V: 0.42,	SSIM-Y: 0.98169,	SSIM-U: 0.99437,	SSIM-V: 0.99481 ]	      5 bytes
Picture Number:   69	 QP:   22  [ PSNR-Y: 44.52 dB,	PSNR-U: 51.46 dB,	PSNR-V: 52.03 dB,	MSE-Y: 2.30,	MSE-U: 0.46,	MSE-V: 0.41,	SSIM-Y: 0.98129,	SSIM-U: 0.99466,	SSIM-V: 0.99503 ]	   4882 bytes
Picture Number:   70	 QP:   21  [ PSNR-Y: 45.03 dB,	PSNR-U: 51.57 dB,	PSNR-V: 52.11 dB,	MSE-Y: 2.04,	MSE-U: 0.45,	MSE-V: 0.40,	SSIM-Y: 0.98259,	SSIM-U: 0.99478,	SSIM-V: 0.99517 ]	      5 bytes
Picture Number:   71	 QP:   22  [ PSNR-Y: 44.67 dB,	PSNR-U: 51.43 dB,	PSNR-V: 51.98 dB,	MSE-Y: 2.22,	MSE-U: 0.47,	MSE-V: 0.41,	SSIM-Y: 0.98179,	SSIM-U: 0.99474,	SSIM-V: 0.99519 ]	   1521 bytes
Picture Number:   72	 QP:   15  [ PSNR-Y: 46.18 dB,	PSNR-U: 51.79 dB,	PSNR-V: 52.22 dB,	MSE-Y: 1.57,	MSE-U: 0.43,	MSE-V: 0.39,	SSIM-Y: 0.98424,	SSIM-U: 0.99493,	SSIM-V: 0.99529 ]	      5 bytes
Picture Number:   73	 QP:   22  [ PSNR-Y: 44.85 dB,	PSNR-U: 51.51 dB,	PSNR-V: 52.05 dB,	MSE-Y: 2.13,	MSE-U: 0.46,	MSE-V: 0.41,	SSIM-Y: 0.98233,	SSIM-U: 0.99470,	SSIM-V: 0.99529 ]	   9638 bytes
Picture Number:   74	 QP:   21  [ PSNR-Y: 45.33 dB,	PSNR-U: 51.66 dB,	PSNR-V: 52.20 dB,	MSE-Y: 1.90,	MSE-U: 0.44,	MSE-V: 0.39,	SSIM-Y: 0.98347,	SSIM-U: 0.99493,	SSIM-V: 0.99531 ]	      5 bytes
Picture Number:   75	 QP:   22  [ PSNR-Y: 44.88 dB,	PSNR-U: 51.49 dB,	PSNR-V: 52.07 dB,	MSE-Y: 2.11,	MSE-U: 0.46,	MSE-V: 0.40,	SSIM-Y: 0.98271,	SSIM-U: 0.99477,	SSIM-V: 0.99521 ]	   1595 bytes
Picture Number:   76	 QP:   19  [ PSNR-Y: 45.52 dB,	PSNR-U: 51.46 dB,	PSNR-V: 52.07 dB,	MSE-Y: 1.82,	MSE-U: 0.46,	MSE-V: 0.40,	SSIM-Y: 0.98328,	SSIM-U: 0.99467,	SSIM-V: 0.99522 ]	      5 bytes
